"","sample.id","extraction.id","dna.extraction.batch","nanodrop.dna.concentration.ng.per.uL","A260.A280","A230.A260","DNA.volume.sent.for.library.prep.in.uL","water.volume.added.to.dilute.DNA.in.uL","DNA.concentration.sent.to.Dalhousie.nanodrop.ng.per.uL","sequencing.batch","plate.batch","sample.type","country","replicate","read_depth_afterDADA2","read.depth.compared.to.blanks","read_depth_afterTaxaRemoval","bead.basher.used","visit"
"2","D10","CD005A.3",9,113.117,1.95,2.06,15,0,113.117,1,1,"stool","Denmark","no",12928,"above",12928,"old","3"
"3","D100","CD072K.4",11,34.439,1.933,1.685,15,0,34.439,1,2,"stool","Denmark","no",22743,"above",22733,"old","4"
"7","D104","CD078U.2",11,25.063,1.969,2.019,15,0,25.063,1,2,"stool","Denmark","no",24513,"above",24513,"old","2"
"8","D105","CD078U.3",11,294.124,1.881,1.965,12.2397356217106,2.76026437828943,240,1,2,"stool","Denmark","no",11934,"below",11934,"old","3"
"9","D106","CD078U.4",11,177.608,1.853,1.562,15,0,177.608,1,2,"stool","Denmark","no",7954,"below",7954,"old","4"
"10","D107","CD080P.2",11,46.154,1.924,1.867,15,0,46.154,1,2,"stool","Denmark","no",34612,"above",34612,"old","2"
"11","D108","CD080P.3",11,127.176,1.912,2.187,15,0,127.176,1,2,"stool","Denmark","no",15705,"above",15705,"old","3"
"12","D109","CD080P.4",11,174.568,1.89,2.087,15,0,174.568,1,2,"stool","Denmark","no",9523,"below",9523,"old","4"
"13","D11","CD005A.4",9,80.923,1.935,2.042,15,0,80.923,1,1,"stool","Denmark","no",26804,"above",26804,"old","4"
"14","D110","CD082B.2",11,33.748,1.886,1.688,15,0,33.748,1,2,"stool","Denmark","no",32385,"above",32385,"old","2"
"15","D111","CD082B.3",11,22.662,1.97,1.997,15,0,22.662,1,2,"stool","Denmark","no",27190,"above",27190,"old","3"
"16","D112","CD082B.4",11,147.869,1.909,2.132,15,0,147.869,1,2,"stool","Denmark","no",9319,"below",9319,"old","4"
"17","D113","CD084N.2",11,226.211,1.895,2.112,15,0,226.211,1,2,"stool","Denmark","no",14770,"above",14770,"old","2"
"18","D114","CD084N.3",11,43.025,2.124,1.948,15,0,43.025,1,2,"stool","Denmark","no",9953,"below",9953,"old","3"
"19","D115","CD084N.4",11,61.108,1.956,2.006,15,0,61.108,1,2,"stool","Denmark","no",17887,"above",17887,"old","4"
"23","D119","CD090G.2",11,44.702,2.02,2.126,15,0,44.702,1,2,"stool","Denmark","no",19897,"above",19897,"old","2"
"24","D12","CD007M.2",9,46.692,1.998,1.987,15,0,46.692,1,1,"stool","Denmark","no",13780,"above",13780,"old","2"
