"sample-id"	"extraction-id"	"dna-extraction-batch"	"nanodrop-dna-concentration-ng-per-uL"	"A260-A280"	"A230-A260"	"DNA-volume-sent-for-library-prep-in-uL"	"water-volume-added-to-dilute-DNA-in-uL"	"DNA-concentration-sent-to-Dalhousie-nanodrop-ng-per-uL"	"sequencing-batch"	"plate-batch"	"sample-type"	"country"	"replicate"	"read_depth_afterDADA2"	"read-depth-compared-to-blanks"	"read_depth_afterTaxaRemoval"	"bead-basher-used"
"D1"	"Mock_9.1"	"9"	"4.4729999999999999"	"2.4089999999999998"	"0.66900000000000004"	"15"	"0"	"4.4729999999999999"	"1"	"1"	"mock"	""	"no"	31628	"above"	31628	"old"
"D10"	"CD005A.3"	"9"	"113.117"	"1.95"	"2.06"	"15"	"0"	"113.117"	"1"	"1"	"stool"	"Denmark"	"no"	12928	"above"	12928	"old"
"D100"	"CD072K.4"	"11"	"34.439"	"1.9330000000000001"	"1.6850000000000001"	"15"	"0"	"34.439"	"1"	"2"	"stool"	"Denmark"	"no"	22743	"above"	22733	"old"
"D101"	"CD075P.2"	"11"	"149.83000000000001"	"1.9059999999999999"	"2.081"	"15"	"0"	"149.83000000000001"	"1"	"2"	"stool"	"Denmark"	"no"	6495	"below"	6495	"old"
"D102"	"CD075P.3"	"11"	"106.04"	"1.901"	"2.1280000000000001"	"15"	"0"	"106.04"	"1"	"2"	"stool"	"Denmark"	"no"	7650	"below"	7650	"old"
"D103"	"CD075P.4"	"11"	"202.715"	"1.9059999999999999"	"1.9"	"15"	"0"	"202.715"	"1"	"2"	"stool"	"Denmark"	"no"	6842	"below"	6842	"old"
"D104"	"CD078U.2"	"11"	"25.062999999999999"	"1.9690000000000001"	"2.0190000000000001"	"15"	"0"	"25.062999999999999"	"1"	"2"	"stool"	"Denmark"	"no"	24513	"above"	24513	"old"
"D105"	"CD078U.3"	"11"	"294.12400000000002"	"1.881"	"1.9650000000000001"	"12.239735621710571"	"2.7602643782894294"	"240"	"1"	"2"	"stool"	"Denmark"	"no"	11934	"below"	11934	"old"
"D106"	"CD078U.4"	"11"	"177.608"	"1.853"	"1.5620000000000001"	"15"	"0"	"177.608"	"1"	"2"	"stool"	"Denmark"	"no"	7954	"below"	7954	"old"
"D107"	"CD080P.2"	"11"	"46.154000000000003"	"1.9239999999999999"	"1.867"	"15"	"0"	"46.154000000000003"	"1"	"2"	"stool"	"Denmark"	"no"	34612	"above"	34612	"old"
"D108"	"CD080P.3"	"11"	"127.176"	"1.9119999999999999"	"2.1869999999999998"	"15"	"0"	"127.176"	"1"	"2"	"stool"	"Denmark"	"no"	15705	"above"	15705	"old"
"D109"	"CD080P.4"	"11"	"174.56800000000001"	"1.89"	"2.0870000000000002"	"15"	"0"	"174.56800000000001"	"1"	"2"	"stool"	"Denmark"	"no"	9523	"below"	9523	"old"
"D11"	"CD005A.4"	"9"	"80.923000000000002"	"1.9350000000000001"	"2.0419999999999998"	"15"	"0"	"80.923000000000002"	"1"	"1"	"stool"	"Denmark"	"no"	26804	"above"	26804	"old"
"D110"	"CD082B.2"	"11"	"33.747999999999998"	"1.8859999999999999"	"1.6879999999999999"	"15"	"0"	"33.747999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	32385	"above"	32385	"old"
"D111"	"CD082B.3"	"11"	"22.661999999999999"	"1.97"	"1.9970000000000001"	"15"	"0"	"22.661999999999999"	"1"	"2"	"stool"	"Denmark"	"no"	27190	"above"	27190	"old"
"D112"	"CD082B.4"	"11"	"147.869"	"1.909"	"2.1320000000000001"	"15"	"0"	"147.869"	"1"	"2"	"stool"	"Denmark"	"no"	9319	"below"	9319	"old"
"D113"	"CD084N.2"	"11"	"226.21100000000001"	"1.895"	"2.1120000000000001"	"15"	"0"	"226.21099999999998"	"1"	"2"	"stool"	"Denmark"	"no"	14770	"above"	14770	"old"
"D114"	"CD084N.3"	"11"	"43.024999999999999"	"2.1240000000000001"	"1.948"	"15"	"0"	"43.024999999999999"	"1"	"2"	"stool"	"Denmark"	"no"	9953	"below"	9953	"old"
"D115"	"CD084N.4"	"11"	"61.107999999999997"	"1.956"	"2.0059999999999998"	"15"	"0"	"61.107999999999997"	"1"	"2"	"stool"	"Denmark"	"no"	17887	"above"	17887	"old"
"D116"	"CD085G.2"	"11"	"8.8819999999999997"	"2.6360000000000001"	"1.5189999999999999"	"15"	"0"	"8.8819999999999997"	"1"	"2"	"stool"	"Denmark"	"no"	25711	"above"	25711	"old"
"D117"	"CD085G.3"	"11"	"75.224999999999994"	"1.966"	"2.109"	"15"	"0"	"75.224999999999994"	"1"	"2"	"stool"	"Denmark"	"no"	1465	"below"	1465	"old"
"D118"	"CD085G.4"	"11"	"141.446"	"1.895"	"2.032"	"15"	"0"	"141.446"	"1"	"2"	"stool"	"Denmark"	"no"	18548	"above"	18548	"old"
"D119"	"CD090G.2"	"11"	"44.701999999999998"	"2.02"	"2.1259999999999999"	"15"	"0"	"44.701999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	19897	"above"	19897	"old"
"D12"	"CD007M.2"	"9"	"46.692"	"1.998"	"1.9870000000000001"	"15"	"0"	"46.692"	"1"	"1"	"stool"	"Denmark"	"no"	13780	"above"	13780	"old"
"D120"	"CD090G.3"	"11"	"53.973999999999997"	"1.9319999999999999"	"2.0840000000000001"	"15"	"0"	"53.973999999999997"	"1"	"2"	"stool"	"Denmark"	"no"	14397	"above"	14397	"old"
"D121"	"CD090G.4"	"11"	"111.068"	"1.9039999999999999"	"1.883"	"15"	"0"	"111.068"	"1"	"2"	"stool"	"Denmark"	"no"	34941	"above"	34941	"old"
"D122"	"CD092S.2"	"11"	"52.442999999999998"	"1.839"	"1.94"	"15"	"0"	"52.442999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	28118	"above"	28118	"old"
"D123"	"CD092S.3"	"11"	"50.194000000000003"	"1.9750000000000001"	"1.9510000000000001"	"15"	"0"	"50.194000000000003"	"1"	"2"	"stool"	"Denmark"	"no"	5074	"below"	5074	"old"
"D124"	"CD092S.4"	"11"	"227.88300000000001"	"1.8939999999999999"	"2.0350000000000001"	"15"	"0"	"227.88300000000001"	"1"	"2"	"stool"	"Denmark"	"no"	653	"below"	653	"old"
"D125"	"Mock_12.1"	"12"	"4.0019999999999998"	"2.306"	"0.75800000000000001"	"15"	"0"	"4.0019999999999998"	"1"	"2"	"mock"	""	"no"	18650	"above"	18650	"old"
"D126"	"CD093L.2"	"12"	"29.4"	"1.8380000000000001"	"2.0019999999999998"	"15"	"0"	"29.4"	"1"	"2"	"stool"	"Denmark"	"no"	25820	"above"	25820	"old"
"D127"	"CD093L.3"	"12"	"101.873"	"1.913"	"2.12"	"15"	"0"	"101.873"	"1"	"2"	"stool"	"Denmark"	"no"	7941	"below"	7941	"old"
"D128"	"CD093L.4"	"12"	"47.137999999999998"	"1.921"	"1.84"	"15"	"0"	"47.137999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	20045	"above"	20045	"old"
"D129"	"CD096Q.2"	"12"	"54.6"	"1.8979999999999999"	"1.9279999999999999"	"15"	"0"	"54.6"	"1"	"2"	"stool"	"Denmark"	"no"	24690	"above"	24690	"old"
"D13"	"CD007M.3"	"9"	"213.23599999999999"	"1.9179999999999999"	"2.1339999999999999"	"15"	"0"	"213.23599999999999"	"1"	"1"	"stool"	"Denmark"	"no"	10160	"below"	10160	"old"
"D130"	"CD096Q.3"	"12"	"68.376000000000005"	"1.899"	"1.9670000000000001"	"15"	"0"	"68.376000000000005"	"1"	"2"	"stool"	"Denmark"	"no"	7630	"below"	7630	"old"
"D131"	"CD096Q.4"	"12"	"47.154000000000003"	"1.91"	"1.994"	"15"	"0"	"47.154000000000003"	"1"	"2"	"stool"	"Denmark"	"no"	21417	"above"	21417	"old"
"D132"	"CD099V.2"	"12"	"72.817999999999998"	"1.899"	"2.097"	"15"	"0"	"72.817999999999998"	"1"	"2"	"stool"	"Denmark"	"no"	7703	"below"	7703	"old"
"D133"	"CD099V.3"	"12"	"82.441000000000003"	"1.8740000000000001"	"2.2080000000000002"	"15"	"0"	"82.441000000000003"	"1"	"2"	"stool"	"Denmark"	"no"	685	"below"	685	"old"
"D134"	"CD099V.4"	"12"	"56.55"	"1.8839999999999999"	"1.9770000000000001"	"15"	"0"	"56.55"	"1"	"2"	"stool"	"Denmark"	"no"	22655	"above"	22655	"old"
"D135"	"CD101D.2"	"12"	"209.655"	"1.8939999999999999"	"2.1309999999999998"	"15"	"0"	"209.655"	"1"	"2"	"stool"	"Denmark"	"no"	1367	"below"	1367	"old"
"D136"	"CD101D.3"	"12"	"12.843"	"2.0489999999999999"	"1.401"	"15"	"0"	"12.843"	"1"	"2"	"stool"	"Denmark"	"no"	7571	"below"	7571	"old"
"D137"	"CD101D.4"	"12"	"163.96299999999999"	"1.869"	"1.748"	"15"	"0"	"163.96299999999999"	"1"	"2"	"stool"	"Denmark"	"no"	20021	"above"	20019	"old"
